"E","p","CRPS","Reliance","Pareto"
28,0.21051330169104,0.423169393862275,93.4970153717661,TRUE
27,0.246910319768992,0.438940345143988,94.4223531229507,TRUE
28,0.112444518515392,0.384586513041893,93.1009454273589,TRUE
26,0.251453675598056,0.459006971394069,95.0003714475525,TRUE
29,0.286889402806549,0.391502571498868,93.2391001936045,TRUE
27,0.31803456440568,10,95.4704209166144,TRUE
28,0.286889402806549,0.0864072155733979,91.80196313533,TRUE
27,0.246910319768992,0.440124638088756,94.4969849847963,TRUE
27,0.246910319768992,0.310722945105811,92.8590948564821,TRUE
