"Model","Gamma","ROC","PR","MCC","F1","CRPS"
"WSLS",2.22044604925031e-16,0.771769850231005,0.521254176704011,NA,0.599961111047211,0.979661123360987
"WSLS",0.534074339806223,0.773960914513137,0.525051839359973,NA,0.603157640095616,0.896349414382003
"WSLS",1,0.738795507356095,0.485487850387806,NA,0.610283317027911,0.829785542364404
"QLearn",6.7109029444623e-10,0.771769658140479,0.5212536149815,NA,0.599961111047211,0.979661123281694
"QLearn",0.539390104494522,0.771720322190733,0.521803251509795,NA,0.60036067329509,0.92067469633597
"QLearn",0.99999999999418,0.515923162181692,0.280474397089276,NA,0.38544756021194,0.871425900226102
"Bio",8.04359243189445e-06,0.771769540454784,0.521253440797484,NA,0.599961111047211,0.979661229095646
"Bio",0.446608144661479,0.769880991851733,0.527002317141843,NA,0.59804833422943,0.973127263573898
"Bio",1,0.757132833943463,0.50906190999022,NA,0.577805894334987,0.946919294322778
