"Spec","T2_p","T3_p","T4_p"
"Original (k=5)",0.180257313806971,0.0939979118697632,0.227326019492737
"Tensor (te, k=5,5)",0.201898396427555,0.113813656334845,0.259759340296981
"Max Time Knots (k=6, k=10)",0.185889502060702,0.0929209981243844,0.227463969590367
"Parametric Delta_Beta",0.234937435659996,0.123112125772908,0.281587361887664
"Original (ML method)",0.419229143548031,0.231345779931968,0.291186057249953
"Tensor (ML method)",0.280426201325796,0.138132981940514,0.263758801315274
"Quasibinomial (k=5)",0.114120684187678,0.050687567291496,0.184028992797535
"Gaussian Logit (k=5)",0.0831760485352292,0.0333919405818644,0.1363858621361
