"Autocorrelation","Entropy","N_Granule","N_Purkinje","N_DCN","alpha_pc","lambda_pc","beta_thal","kappa_cf","alpha_gran","beta_gran","sigma2","ED"
0.1,0.1,894,93,24,1.48874906053911,0.491959908185493,1.48409690473377,0.740426553931383,0.0101094806742021,0.921600370476411,0.0337481590096624,25.1567520410145
0.1,1,696,95,24,1.4880194301249,0.363298229587881,1.48055509604792,0.0646501196148907,0.134765026280163,0.102125021925608,0.103018064984281,24.1213908819515
0.1,5,223,92,24,1.46031600019201,0.409887801271494,1.22956481484676,1.69895154873378,0.0125984352915908,0.948206480187576,4.38654677217354,22.3737209192997
0.5,0.1,247,95,24,1.47758030959191,0.495689365872114,1.40040576708149,0.178802616693816,0.0238670579742098,0.953231374663138,4.93262121341541,23.114032866982
0.5,1,350,95,24,1.48664790086122,0.542461237581474,1.45214255378526,0.131344021493504,0.0659969114240869,0.94719447689128,4.96358893503068,23.8248751832568
0.5,5,723,95,24,1.4886762088257,0.924714456100722,1.46980895209488,0.0828939611721758,0.104565711634036,0.98808766951451,0.263190867953295,25.0106834996135
0.9,0.1,906,96,24,1.48931903508367,0.555847197791978,1.46886994394535,0.90896686756201,0.011314911051222,0.412436452733283,0.0414407051231616,24.1798181598223
0.9,1,1024,95,24,1.46651042318071,0.726879429648812,1.4803830458871,0.601514764141675,0.0152127842443044,0.015282113704038,0.26089576340645,24.5968589593697
0.9,5,1024,93,24,1.45656652951095,1.01177403314739,1.47262613275703,0.0664929477762424,0.112423856875976,0.685531610047885,0.1831050213113,24.7527176673442
