"Loss","Granule","DCN"
0.307910606649141,836,362
0.308054271974229,836,363
0.308095355103277,828,362
0.308128568077626,828,363
0.30817188576937,836,362
0.308175435186832,832,362
0.308205956534932,831,367
0.308207356223057,841,375
0.308213250641763,836,362
0.30822788179794,828,363
0.308229842215255,841,362
0.3082312051192,992,363
0.308231472127028,836,362
0.308236857633029,828,362
0.308242534082658,831,375
0.30826152795154,836,362
0.308263693774605,836,362
0.308265351197589,828,363
0.308292081213037,839,363
0.308293820286221,836,362
0.308300383794007,828,363
0.30831207387898,835,363
0.308315603121288,835,363
0.308323112301011,831,365
0.308347561307167,830,360
0.308352720327196,829,360
0.308353134255982,836,362
0.308353515229788,842,363
0.308355954133114,836,362
0.308360651711127,828,363
0.30836597116788,836,362
0.308372475178685,995,361
0.308384648675025,829,360
0.308388291010532,830,360
0.30839408641883,836,362
0.308403996973863,836,365
0.308410400347859,836,362
0.308411512361892,828,363
0.308421544690137,830,360
0.308431637779806,836,360
0.308437053014682,841,362
0.308437457641963,841,362
0.308443107189136,830,362
0.308443323500317,841,360
0.308450650600698,842,363
0.308450729932147,828,360
0.308456040443484,835,363
0.308460925009239,841,362
0.308465412300397,834,362
0.308473854574031,832,374
0.308475467632267,828,362
0.30848757376127,841,373
0.308491067049983,842,363
0.308492705667449,836,362
0.308494960066691,828,362
0.308495206871516,828,363
0.308495379759121,841,362
0.308496563196963,828,363
0.308497701441102,841,360
0.308498438983769,831,360
0.308498844125603,835,350
0.308501673284023,828,363
0.308505756051908,836,361
0.30850786254437,828,363
0.308509929857916,830,363
0.308515934947794,838,360
0.308519198490955,828,363
0.30852099167493,830,362
0.308522521076937,830,360
0.308523008029363,830,360
0.30852529390168,828,362
0.30852673255829,834,363
0.308526984685904,836,363
0.308529104658175,836,362
0.308529818605091,830,362
0.308532685105632,830,363
0.30853495554634,836,362
0.308536377400832,992,363
0.308537431649067,830,362
0.308537451504149,830,360
