"Percentile","T2_p","T3_p","T4_p"
"10th",0.177857079626084,0.0922643613942478,0.228180777554247
"25th",0.0988112410676576,0.0431808407657825,0.156024860404124
"50th",0.0774679013792917,0.0314993324485296,0.133725969379572
"75th",0.0831760485352292,0.0333919405818644,0.1363858621361
"90th",0.58970332408237,0.397683859052514,0.596309582348772
"95th",0.858640974393111,0.656190680602944,0.847874133874033
"99th",0.542032106313592,0.637834221688804,0.555478044885771
